Age,Education,Marital Status,Parental Status,Children,Income,Total_Spending,Days_as_Customer,Recency,Wines,Fruits,Meat,Fish,Sweets,Gold,Web,Catalog,Store,Discount Purchases,Total Promo,NumWebVisitsMonth,cluster
53,2,1,1,1,26304,16,4689,5,4,1,5,2,0,4,1,0,2,1,0,7,0
49,1,1,1,1,23559,79,4679,87,25,5,19,7,0,23,3,0,3,3,0,7,0
59,3,1,0,0,38620,318,4732,56,112,17,44,34,22,89,2,5,3,1,0,3,2
35,2,0,0,0,81361,778,4442,18,163,23,424,27,65,76,3,10,13,1,0,1,2
62,2,1,1,2,29440,56,4640,95,17,8,14,10,4,3,1,0,4,2,0,7,0
52,3,1,1,2,36138,151,4666,48,130,0,16,0,0,5,3,1,4,5,1,7,0
65,2,0,1,1,50388,372,4350,3,292,6,37,0,3,34,6,1,6,4,2,7,1
49,2,1,0,0,79593,1366,4366,70,350,60,556,110,81,126.5,5,6,7,1,1,2,2
55,2,1,1,1,54178,194,4477,79,135,9,39,4,0,7,2,2,5,1,0,2,0
65,4,1,1,3,51381.5,603,4905,4,230,42,192,49,37,53,7,2,8,12,0,9,1
65,2,0,1,2,51381.5,18,4351,45,7,0,8,2,0,1,1,0,2,1,0,7,0
49,3,1,0,0,51381.5,985,4536,87,445,37,359,98,28,18,2,4,8,1,0,1,2
50,3,0,1,1,42394,32,4416,69,15,2,10,0,1,4,1,0,3,1,0,7,0
52,4,1,1,1,23626,43,4354,84,27,2,14,0,0,0,3,1,3,3,0,5,0
39,2,1,1,1,30096,45,4356,30,5,3,11,12,5,9,2,0,3,1,0,6,0
62,2,0,1,1,47916,606,4902,72,505,0,26,0,0,75,7,4,6,5,1,6,1
50,2,0,1,2,51813,63,4762,37,51,2,7,0,1,2,2,0,3,2,0,7,0
71,1,1,0,0,78497,978,4528,44,207,26,447,75,0,126.5,5,7,12,1,1,2,2
39,4,1,0,0,50150,410,4692,32,135,46,92,65,61,11,5,2,7,2,0,5,2
62,1,0,1,1,47823,72,4659,0,53,1,5,2,1,10,2,0,3,2,0,8,0
63,4,0,1,1,34554,55,4409,43,41,1,6,2,0,5,2,0,3,2,0,6,0
43,2,1,1,1,85693,1169,4753,59,386,81,183,120.5,81,111,9,5,11,2,0,5,2
77,4,1,0,0,65846,1120,4726,68,562,81,276,80,40,81,6,3,6,1,0,4,2
63,2,1,0,0,87195,1097,4370,35,217,76,556,50,26,38,3,11,5,1,0,1,2
43,0,1,1,1,24594,29,4519,94,1,3,6,10,0,9,1,0,3,1,0,5,0
58,2,1,1,2,49096,187,4596,15,144,1,32,2,1,7,4,1,4,4,0,7,0
53,2,1,1,2,52413,910,4830,56,295,81,271,75,81,65,6,4,12,4,0,6,1
44,2,0,1,1,38557,145,4875,17,76,3,31,4,4,27,3,1,3,2,0,7,0
62,3,1,0,0,89058,850,4887,18,454,81,106,31,22,43,5,4,4,1,0,2,2
43,2,1,1,1,77298,969,4557,46,425,81,292,23,35,79,6,6,11,1,0,3,2
31,4,0,0,0,68126,1820,4914,40,1225,17,311,23,51,86,7,4,5,1,1,9,2
59,3,1,1,1,57288,608,4322,27,527,0,21,0,0,60,8,1,8,3,1,6,1
31,2,0,0,0,86037,730,4861,95,490,44,125,29,20,22,6,7,11,1,2,3,2
42,4,1,1,1,43974,551,4882,19,378,0,101,0,0,72,6,4,6,5,0,7,1
60,2,0,1,2,50785,114,4610,27,64,1,21,0,1,27,2,1,3,2,0,6,0
52,2,1,0,0,90765,1724,4474,25,547,81,556,120.5,81,33,4,6,5,0,2,1,2
44,1,1,1,1,36550,577,4813,74,47,81,94,120.5,81,120,9,1,5,5,0,9,1
55,1,1,1,2,30753,81,4671,85,12,5,25,0,9,30,1,1,3,2,0,5,0
53,2,1,1,1,21918,33,4545,37,1,6,7,11,5,3,2,0,3,2,0,6,0
69,3,1,1,1,56129,660,4692,65,320,48,133,39,72,48,6,2,10,4,0,4,1
55,3,0,1,1,32557,80,4443,13,34,3,29,0,4,10,2,1,3,3,0,5,0
37,3,1,1,2,19510,30,4616,63,9,0,7,3,4,7,1,0,3,2,0,7,0
46,2,0,1,1,30992,43,4751,83,17,0,14,7,3,2,1,0,3,1,0,7,0
39,2,0,0,0,101970,1135,4792,69,722,27,102,44,72,126.5,6,8,13,0,3,2,2
57,1,1,0,0,71488,559,4814,87,162,33,124,40,28,126.5,3,4,7,2,0,1,2
38,2,0,0,0,79607,1923,4752,37,450,81,556,120.5,0,126.5,3,6,6,1,0,1,2
69,3,1,1,2,54348,90,4339,51,70,0,16,0,0,4,2,0,4,2,0,6,0
61,4,1,1,1,51381.5,404,4671,23,352,0,27,10,0,15,6,1,7,3,0,6,1
66,4,1,1,2,77376,661,4368,72,492,19,110,16,12,12,6,3,10,4,0,4,1
70,2,1,1,1,62998,463,4590,10,120,58,73,65,81,58,5,4,5,5,0,5,1
64,3,0,1,2,61331,632,4794,42,534,5,47,0,5,41,11,1,6,5,0,8,1
53,2,1,0,0,73448,725,4457,10,236,81,189,23,41,126.5,7,2,9,1,0,4,2
59,2,1,1,1,51381.5,725,4640,96,231,65,196,38,71,124,6,5,7,1,0,4,1
58,4,1,1,2,41551,279,4637,51,220,0,33,3,0,23,5,1,5,5,0,8,1
55,4,1,0,0,62981,1482,4787,21,796,14,556,38,44,0,4,5,13,1,1,3,2
46,0,0,1,1,9548,29,5008,31,0,1,3,10,6,9,1,0,3,2,0,8,0
63,4,1,1,3,33762,106,4675,61,53,1,34,2,0,16,2,2,2,3,0,8,0
49,4,0,1,2,35860,49,4359,37,15,0,8,4,2,20,1,1,2,2,1,5,0
57,4,0,1,2,36921,38,4654,74,17,1,12,3,1,4,2,0,3,2,0,7,0
30,3,0,0,0,92859,2077,4936,46,962,61,556,52,61,20,5,4,12,1,0,2,2
46,3,1,1,1,65104,1053,4545,4,738,0,232,13,20,50,3,5,7,2,0,7,1
60,2,1,0,0,86111,1385,4754,73,399,28,556,36,40,126,5,7,10,1,0,2,2
48,4,0,1,1,68352,871,4623,47,614,16,132,43,33,33,8,5,9,3,0,6,1
34,2,1,1,1,41883,312,4785,13,32,34,41,73,16,116,4,2,3,3,0,7,1
46,2,1,1,2,59809,877,4937,36,598,16,141,32,41,49,3,3,6,3,0,8,1
47,2,1,1,1,23957,68,4927,47,2,1,18,20,11,16,2,0,3,1,0,6,0
41,2,1,1,1,38547,22,4623,49,6,1,10,0,1,4,1,0,2,1,0,8,0
49,1,1,1,3,35688,211,4994,94,73,3,90,12,1,32,4,1,4,7,0,8,1
56,3,1,0,0,49605,127,4326,65,42,16,29,12,20,8,2,1,4,1,0,3,0
69,3,1,1,2,59354,459,4384,59,295,21,78,39,13,13,4,4,7,1,0,3,1
53,2,1,1,1,65747,460,4432,96,346,17,48,23,13,13,8,1,6,4,1,6,1
50,1,1,1,1,46344,429,4880,28,233,20,57,8,20,91,7,1,5,4,0,7,1
34,2,0,1,1,34176,89,4366,12,5,7,24,19,14,20,3,0,4,4,0,6,0
70,4,1,1,1,61010,1021,4946,57,888,0,57,0,0,76,8,5,11,2,0,5,1
73,2,1,0,0,69372,1381,4813,10,997,26,269,34,13,42,10,4,6,1,2,4,2
64,2,0,1,1,49967,306,4674,4,212,6,69,4,12,3,6,1,5,3,0,7,1
44,2,0,1,3,60199,18,4608,49,8,1,7,2,0,0,0,0,3,1,0,4,0
45,2,1,1,1,55375,162,4573,3,42,11,57,10,28,14,1,1,6,1,0,2,0
67,2,0,0,0,80317,1231,4631,64,536,11,387,120.5,81,57,3,4,10,1,0,1,2
64,3,0,1,3,30523,13,4681,0,5,0,3,0,0,5,1,0,2,1,0,7,0
77,4,1,0,0,70356,1706,4919,20,1225,16,249,43,16,33,10,6,9,2,0,6,2
38,2,1,1,1,23228,121,4493,91,53,3,49,7,4,5,3,0,4,4,0,8,0
47,4,0,0,0,74165,1293,4742,9,1001,12,240,16,12,12,5,4,10,1,0,2,2
49,4,1,1,1,117416.25,1608,4438,98,20,2,556,1,2,1,0,22,0,15,0,0,1
56,2,1,1,3,43482,88,4546,83,18,1,32,6,3,28,2,0,4,3,0,6,0
69,2,0,0,0,62551,421,4541,27,125,16,98,120.5,21,27,6,7,4,1,1,3,2
63,2,0,0,0,52332,259,4623,63,212,5,33,7,0,2,3,2,6,1,1,4,0
34,2,0,0,0,66951,1117,4557,46,277,81,305,120.5,76,124,3,4,7,1,0,1,2
65,2,1,1,2,26091,89,4442,84,15,10,19,8,17,20,2,1,3,3,0,5,0
57,2,1,1,2,33456,36,4387,58,7,3,10,8,1,7,1,0,3,2,0,7,0
40,2,1,1,1,28718,57,4669,78,12,4,6,11,8,16,2,0,3,2,0,8,0
52,2,1,1,2,50447,148,4387,4,85,7,24,2,3,27,3,1,3,1,0,6,0
63,4,1,1,2,53537,93,4468,17,81,0,6,0,0,6,2,1,3,2,0,5,0
55,2,0,1,1,52074,119,4404,77,59,0,12,0,0,48,2,2,2,1,1,4,0
47,4,1,1,1,80427,1835,4973,56,1149,71,449,69,71,26,11,8,8,1,0,5,2
74,4,1,0,0,83837,1318,4878,79,847,66,119,86,81,111,9,10,5,1,2,4,2
52,4,1,1,2,38853,45,4355,90,29,0,14,0,0,2,2,0,3,2,0,7,0
63,2,1,1,3,38285,10,4323,96,2,0,5,2,0,1,0,0,3,1,0,2,0
71,1,1,0,0,78497,978,4528,44,207,26,447,75,0,126.5,5,7,12,1,1,2,2
46,4,1,1,1,51650,191,4367,81,152,3,22,2,5,7,4,1,4,1,0,5,0
34,1,1,1,1,16248,57,4368,77,12,11,10,3,12,9,2,1,3,3,0,6,0
76,3,1,0,0,66835,1033,4592,21,620,26,195,34,17,126.5,6,4,13,1,0,2,2
38,3,1,1,1,30477,66,4476,16,47,1,6,0,0,12,1,1,3,1,0,6,0
61,0,1,0,0,28249,43,4332,80,1,9,7,2,14,10,2,0,3,1,0,6,0
39,2,1,1,1,25271,50,4889,45,10,1,18,10,4,7,1,1,2,1,0,9,0
52,4,0,1,1,32303,39,4431,63,35,0,2,0,0,2,1,0,4,2,0,5,0
56,2,1,1,1,61286,608,4649,34,356,0,107,19,9,117,7,1,8,2,0,5,1
46,2,1,0,0,74068,1581,4785,14,783,30,537,120.5,76,15,4,10,9,1,0,2,2
58,4,1,1,2,45759,68,4809,13,42,1,18,3,0,4,2,0,3,2,0,7,0
44,0,1,1,1,24882,80,4976,52,1,4,10,29,0,36,1,1,2,1,1,6,0
33,4,1,0,0,66973,1282,4726,98,466,22,432,120.5,81,102,8,7,12,1,0,3,2
90,1,0,1,1,36640,65,4594,99,15,6,8,7,4,25,2,1,2,1,0,5,0
34,2,1,1,1,38872,91,4713,93,23,3,21,3,19,22,3,0,3,2,0,8,0
49,2,1,1,2,51148,315,4814,38,235,6,45,8,9,12,5,1,6,4,0,6,1
45,2,1,1,2,31353,31,4500,24,10,0,10,3,1,7,1,1,2,2,0,8,0
42,3,1,0,0,69661,834,4365,80,656,16,106,32,16,8,7,3,12,1,0,3,2
68,2,1,0,0,80067,1600,4601,82,519,17,556,27,81,51,4,6,6,1,1,2,2
68,2,1,0,0,86718,1270,4846,20,344,81,482,50,33,126.5,5,6,5,1,0,2,2
49,4,0,1,2,46854,263,4408,81,96,1,79,7,1,79,5,1,3,6,1,8,1
70,2,0,1,1,69142,535,4318,50,448,4,34,6,4,39,8,1,7,3,1,5,1
54,2,0,0,0,75922,1295,4520,60,265,81,553,120.5,23,92,4,4,9,1,0,1,2
44,2,0,1,1,63693,1150,4576,63,587,43,337,42,81,54,11,6,9,3,0,6,1
45,4,1,0,0,102160,1240,4922,54,763,29,138,76,81,58,7,9,10,0,3,4,2
57,4,0,1,2,40637,38,4665,72,22,0,13,0,0,3,1,0,3,2,0,7,0
38,3,0,0,0,18890,35,4914,5,6,4,1,7,2,15,0,1,2,1,1,6,0
34,2,1,1,1,29604,53,4521,88,7,6,13,7,6,14,1,0,3,1,1,9,0
59,3,0,1,2,48721,293,4730,50,81,18,113,47,13,21,4,2,5,6,0,6,1
56,2,1,1,1,44794,65,4339,99,54,0,7,0,0,4,2,0,3,1,0,6,0
68,2,0,1,1,64497,1804,4975,17,1170,48,320,42,32,126.5,11,4,9,5,1,8,1
66,2,1,1,1,46097,241,4773,11,72,24,68,65,4,8,3,1,6,5,0,4,1
68,2,1,0,0,77972,1101,4421,18,613,22,319,33,81,12,4,6,9,1,0,1,2
54,4,1,1,2,44377,264,4950,70,224,0,30,0,0,10,5,1,5,8,0,8,1
48,3,1,1,2,46014,541,4842,21,410,0,59,19,9,44,7,1,8,10,0,7,1
37,2,1,0,0,70951,1198,4739,66,239,10,554,120.5,81,54,3,4,9,1,0,1,2
45,2,1,1,1,41443,482,4407,79,171,7,171,25,19,89,8,1,5,6,0,8,1
44,1,0,1,3,52195,17,4366,2,12,0,4,0,0,1,1,0,2,1,0,8,0
74,3,1,0,0,83790,1615,4544,81,1076,16,417,42,48,16,8,10,6,1,2,3,2
68,3,0,1,1,44551,285,4620,24,182,4,33,0,0,66,4,1,5,2,0,7,0
42,2,1,1,1,69508,1135,4910,48,824,32,162,42,32,43,11,4,11,2,0,6,1
34,1,1,1,1,45204,114,4397,93,30,11,25,29,1,18,1,1,4,1,0,3,0
53,2,1,0,0,72460,1047,4545,56,377,10,540,80,30,10,3,5,7,1,0,1,2
52,4,1,1,2,77622,714,4394,3,520,7,154,19,0,14,6,3,11,2,0,3,1
42,4,1,1,1,30732,185,4858,44,155,1,25,0,1,3,4,1,4,4,0,8,0
60,2,0,1,1,63887,1245,4977,38,897,23,207,15,11,92,9,6,12,5,0,6,1
44,2,1,1,1,42011,189,4778,46,131,0,16,2,1,39,3,1,4,4,0,8,0
46,2,1,1,1,51369,576,4930,84,297,7,79,0,11,126.5,8,2,4,2,0,8,1
70,2,0,1,1,51537,1103,4885,27,787,20,204,0,0,92,2,2,11,3,0,8,1
50,4,1,0,0,79930,1753,5008,72,792,81,556,67,51,17,3,5,8,1,0,2,2
36,4,1,1,1,34320,17,4451,66,4,1,9,3,0,0,1,0,2,1,0,8,0
56,2,0,1,2,37070,433,4784,30,231,7,137,4,15,39,5,1,8,9,0,7,1
60,1,0,1,1,81975,1588,4858,2,983,76,184,120.5,81,27,6,3,4,1,1,7,2
51,2,1,1,1,38590,22,4728,65,3,1,8,4,3,3,1,0,2,1,0,8,0
71,2,0,0,0,15033,19,4392,37,0,4,5,6,0,4,1,0,3,1,0,3,0
57,4,1,1,1,62745,1117,4781,89,562,21,464,28,10,32,7,8,11,3,0,5,1
47,1,1,1,1,22212,69,4520,49,5,9,20,6,8,21,2,0,4,2,0,6,0
40,3,1,1,1,23661,23,4525,46,18,0,4,0,0,1,1,0,3,1,0,7,0
64,4,0,1,1,79761,605,4586,32,415,5,124,15,35,11,5,2,11,1,0,3,1
49,2,0,1,1,7500,57,4503,54,5,3,10,12,7,20,3,1,3,4,0,7,0
90,1,0,1,1,60182,22,4361,23,8,0,5,7,0,2,1,0,2,1,0,4,0
54,2,0,0,0,73455,2088,4562,98,901,61,556,120.5,81,20,6,5,10,1,1,3,2
64,2,1,1,1,64961,1009,4871,97,382,81,276,75,81,38,6,4,4,2,0,3,1
51,2,0,1,1,22804,26,4651,75,14,1,7,2,1,1,2,0,2,1,0,9,0
32,2,1,0,0,73687,1627,4531,8,559,81,503,120.5,13,126.5,3,9,9,1,1,2,2
64,2,1,1,1,61074,1102,4999,37,789,0,133,0,28,126.5,11,5,8,7,0,7,1
58,4,1,1,2,31686,17,4342,31,11,0,5,0,0,1,1,0,3,2,0,6,0
50,2,1,1,1,80134,1690,4723,40,1218,16,272,104,0,80,5,3,6,2,3,6,1
69,2,1,1,1,75027,1390,4854,74,925,64,179,120.5,12,77,9,4,6,2,0,5,1
34,4,1,0,0,67546,2126,4985,90,864,81,556,120.5,38,126.5,4,10,5,1,0,3,2
53,3,1,1,1,65176,1531,4926,57,960,28,183,120.5,70,70,9,6,6,4,0,6,1
47,3,0,1,1,31160,64,4604,59,16,3,25,6,1,13,2,0,3,2,0,8,0
37,2,0,1,1,29938,26,4563,52,3,3,7,0,2,11,1,0,3,2,0,6,0
48,2,0,0,0,102692,1112,4768,5,168,81,444,32,81,126.5,6,9,13,1,4,2,2
64,1,1,0,0,26490,210,4963,92,45,47,52,21,20,25,3,1,5,2,0,6,1
55,2,1,1,2,75702,1148,4987,77,650,28,353,45,42,30,4,6,11,5,0,8,1
48,4,0,1,1,30899,33,4942,35,24,0,8,0,0,1,1,0,3,2,0,6,0
61,4,1,1,1,63342,1101,4939,48,918,21,118,13,10,21,8,3,5,3,1,6,1
58,2,0,1,1,45989,322,4933,97,138,33,87,28,24,12,3,2,7,4,0,3,1
58,2,0,1,2,18701,44,4708,95,12,4,2,10,6,10,2,0,4,4,0,5,0
65,4,0,1,3,40737,17,4521,24,11,0,4,0,0,2,1,0,2,1,0,8,0
43,2,0,1,1,15287,31,4945,60,1,2,8,4,3,13,1,1,2,2,1,7,0
54,4,0,1,2,69674,845,4721,46,554,41,215,11,0,24,10,2,10,3,0,5,1
52,3,1,1,1,44159,275,4330,85,167,2,62,24,13,7,4,1,6,4,0,5,1
44,4,1,1,1,37717,25,4901,31,9,0,6,4,1,5,1,0,2,1,0,9,0
70,3,1,1,2,43776,275,4829,9,177,2,71,3,2,20,5,2,4,6,0,8,1
56,3,1,1,2,38179,90,4790,30,38,4,22,4,2,20,3,1,3,4,0,7,0
59,2,1,0,0,80124,1495,4321,47,483,81,398,120.5,81,126.5,3,7,8,1,1,1,2
52,4,1,1,2,38097,184,4940,70,77,2,35,0,1,69,3,2,2,4,1,7,0
52,2,1,0,0,72940,981,4693,13,182,74,298,120.5,81,116,3,3,6,1,0,1,2
52,2,1,1,1,22070,67,4586,11,10,7,19,8,2,21,2,2,2,2,0,6,0
69,2,0,0,0,69267,1635,4963,31,778,44,499,95,73,126.5,3,4,5,2,0,7,2
39,3,0,1,1,31788,60,4419,15,16,7,23,0,8,6,3,0,4,3,0,5,0
47,4,1,1,1,61905,231,4463,2,167,0,43,6,2,13,4,2,4,2,0,5,0
62,2,1,1,2,29315,48,4402,55,13,2,14,8,7,4,2,0,4,4,0,6,0
59,2,0,1,2,33378,99,4826,38,33,6,40,3,7,10,2,0,4,3,0,7,0
59,4,1,1,1,66313,770,4604,86,625,7,99,10,22,7,6,3,12,2,0,4,1
66,2,0,0,0,60714,957,4846,56,216,81,224,101,81,126.5,7,4,10,2,0,5,2
41,3,1,0,0,77882,818,4378,29,68,81,396,120.5,22,15,3,3,5,1,0,1,2
36,4,0,0,0,69867,925,4771,30,196,0,512,33,81,54,3,5,8,1,1,1,2
54,3,0,1,1,63841,908,4752,64,635,15,100,20,7,126.5,9,3,9,1,0,6,1
41,0,1,1,1,24480,102,4821,46,4,19,9,28,25,17,3,0,4,3,0,7,0
46,2,1,1,1,51369,576,4930,84,297,7,79,0,11,126.5,8,2,4,2,0,8,1
76,2,1,0,0,37760,317,4985,20,84,5,38,120.5,12,28,4,1,6,2,0,7,1
48,4,1,1,1,65640,461,4438,74,204,7,149,20,15,66,5,1,8,1,0,2,1
47,3,1,1,2,44319,37,4391,18,26,0,8,0,0,3,2,0,3,2,0,5,0
48,2,1,1,1,30631,70,4670,75,15,6,20,4,5,20,3,1,2,1,0,7,0
70,2,1,0,0,75278,930,4834,17,304,81,230,120.5,74,74,6,3,13,1,0,3,2
66,3,1,1,2,50898,859,4855,88,285,28,242,55,81,126.5,6,2,12,13,0,5,1
56,2,0,0,0,79946,1478,4366,19,395,81,556,120.5,81,28,5,11,5,1,0,3,2
73,3,0,0,0,35416,390,4699,62,248,3,81,4,3,51,7,1,5,3,0,8,1
38,1,1,0,0,32414,52,4678,11,20,6,5,0,9,12,1,0,3,1,1,7,0
53,2,1,1,1,38361,137,4502,74,39,0,56,20,8,14,3,1,3,3,0,7,0
42,2,1,0,0,82497,1919,4924,32,777,81,556,120.5,21,126.5,2,7,9,1,1,4,2
51,2,1,1,2,16626,68,4483,76,8,3,22,21,1,13,3,0,3,3,0,9,0
